p_nr,p_name_keyword,p_name_proper,p_text,p_brand,p_cluster{0},p_comp[leg length],p_comp[compostion],p_comp[material],p_comp[care instructions],p_comp[producttype],p_tag[agegroup]{0},p_tag[gender]{0},p_tag[season]{0},p_tag[sizegrid]{0},p_tag[style]{0},p_bullet{0},p_bullet{1},p_bullet{2},p_bullet{3},p_bullet{4},a_nr,a_prodnr,a_ean,a_comp[color],a_comp[size],a_vk[zafn],a_vk_old[zafn],a_active[zafn],a_active
6417,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"33% Cotton, 60% Polyester, 7% Spandex",Polyester,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_SM_LB_6417,8.72073E+12,8.72073E+12,Light Blue,S,"47,99","47,99",1,1
6417,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"33% Cotton, 60% Polyester, 7% Spandex",Polyester,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_MD_LB_6416,8.72073E+12,8.72073E+12,Light Blue,M,"47,99","47,99",1,1
6417,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"33% Cotton, 60% Polyester, 7% Spandex",Polyester,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_L_LB_6415,8.72073E+12,8.72073E+12,Light Blue,L,"47,99","47,99",1,1
6417,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"33% Cotton, 60% Polyester, 7% Spandex",Polyester,"30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_XL_LB_6414,8.72073E+12,8.72073E+12,Light Blue,XL,"47,99","47,99",1,1
6425,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"47.3% Cotton, 47.3% Modal, 5.4% Spandex","Cotton, Modal","30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_SM_RD_6425,8.72073E+12,8.72073E+12,Black,S,"47,99","47,99",1,1
6425,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"47.3% Cotton, 47.3% Modal, 5.4% Spandex","Cotton, Modal","30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_MD_BLK_6424,8.72073E+12,8.72073E+12,Black,M,"47,99","47,99",1,1
6425,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"47.3% Cotton, 47.3% Modal, 5.4% Spandex","Cotton, Modal","30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_L_BLK_6423,8.72073E+12,8.72073E+12,Black,L,"47,99","47,99",1,1
6425,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"47.3% Cotton, 47.3% Modal, 5.4% Spandex","Cotton, Modal","30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_XL_BLK_6422,8.72073E+12,8.72073E+12,Black,XL,"47,99","47,99",1,1
6425,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"47.3% Cotton, 47.3% Modal, 5.4% Spandex","Cotton, Modal","30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_SM_PI_6431,8.72073E+12,8.72073E+12,Pink,S,"47,99","47,99",1,1
6425,Active wear T-shirt,Basic,"The basic Gym wear t-shirt is perfect for wearing in the gym as well for wearing it casually. The t-shirt has a nice light strech and moves with the body. It is made from high quality material for comfort. The material helps you in your performance, so you can focus on your goal and your goal only.",BVLV,"Men, Gym Wear, Active Wear, Fitness, Basic shirt, Clothing, T-shirt",,"47.3% Cotton, 47.3% Modal, 5.4% Spandex","Cotton, Modal","30 °C washing machine, no dryer",Gym wear T-shirt,adult,men,All season,Mens Sport T-shirt US [S-XL],"Fitness, leisure",Light strech,muscle fit ,anti smell,comfortable,soft feel,BLV_MD_PI_6430,8.72073E+12,8.72073E+12,Pink,M,"47,99","47,99",1,1
